Category,Subcategory,Event ID,Message Summary,Minimum Operating System Requirement
Account Logon,Credential Validation,4774,An account was mapped for logon.,Windows Vista, Windows Server 2008
Account Logon,Credential Validation,4775,An account could not be mapped for logon.,Windows Vista, Windows Server 2008
Account Logon,Credential Validation,4776,The domain controller attempted to validate the credentials for an account.,Windows Vista, Windows Server 2008
Account Logon,Credential Validation,4777,The domain controller failed to validate the credentials for an account.,Windows Vista, Windows Server 2008
Account Logon,Kerberos Authentication Service,4768,A Kerberos authentication ticket (TGT) was requested.,Windows Vista, Windows Server 2008
Account Logon,Kerberos Authentication Service,4771,Kerberos pre-authentication failed.,Windows Vista, Windows Server 2008
Account Logon,Kerberos Authentication Service,4772,A Kerberos authentication ticket request failed.,Windows Vista, Windows Server 2008
Account Logon,Kerberos Service Ticket Operations,4769,A Kerberos service ticket was requested.,Windows Vista, Windows Server 2008
Account Logon,Kerberos Service Ticket Operations,4770,A Kerberos service ticket was renewed.,Windows Vista, Windows Server 2008
Account Management,Application Group Management,4783,A basic application group was created.,Windows Vista, Windows Server 2008
Account Management,Application Group Management,4784,A basic application group was changed.,Windows Vista, Windows Server 2008
Account Management,Application Group Management,4785,A member was added to a basic application group.,Windows Vista, Windows Server 2008
Account Management,Application Group Management,4786,A member was removed from a basic application group.,Windows Vista, Windows Server 2008
Account Management,Application Group Management,4787,A non-member was added to a basic application group.,Windows Vista, Windows Server 2008
Account Management,Application Group Management,4788,A non-member was removed from a basic application group.,Windows Vista, Windows Server 2008
Account Management,Application Group Management,4789,A basic application group was deleted.,Windows Vista, Windows Server 2008
Account Management,Application Group Management,4790,An LDAP query group was created.,Windows Vista, Windows Server 2008
Account Management,Computer Account Management,4742,A computer account was changed.,Windows Vista, Windows Server 2008
Account Management,Computer Account Management,4743,A computer account was deleted.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4744,A security-disabled local group was created.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4745,A security-disabled local group was changed.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4746,A member was added to a security-disabled local group.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4747,A member was removed from a security-disabled local group.,Windows Vista, Windows Server 2008
